format_raw,Format,Metric,Year,count,Revenue [m$],Units [m],Rev [m$]
CD,CD,Units,2009,1,0,297,0
CD,CD,Units,2010,1,0,253,0
CD,CD,Units,2011,1,0,241,0
CD,CD,Units,2012,1,0,198,0
CD,CD,Units,2013,1,0,174,0
CD,CD,Units,2014,1,0,139,0
CD,CD,Units,2015,1,0,117,0
CD,CD,Units,2016,1,0,98,0
CD,CD,Units,2017,1,0,88,0
CD,CD,Units,2018,1,0,52,0
CD,CD,Units,2019,1,0,47,0
CD Single,CD,Units,1973,1,0,0,0
CD Single,CD,Units,1974,1,0,0,0
CD Single,CD,Units,1975,1,0,0,0
CD Single,CD,Units,1976,1,0,0,0
CD Single,CD,Units,1977,1,0,0,0
CD Single,CD,Units,1978,1,0,0,0
CD Single,CD,Units,1979,1,0,0,0
CD Single,CD,Units,1980,1,0,0,0
CD Single,CD,Units,1981,1,0,0,0
CD Single,CD,Units,1982,1,0,0,0
CD Single,CD,Units,1983,1,0,0,0
CD Single,CD,Units,1984,1,0,0,0
CD Single,CD,Units,1985,1,0,0,0
CD Single,CD,Units,1986,1,0,0,0
CD Single,CD,Units,1987,1,0,0,0
CD Single,CD,Units,1988,1,0,2,0
CD Single,CD,Units,1989,1,0,0,0
CD Single,CD,Units,1990,1,0,1,0
CD Single,CD,Units,1991,1,0,6,0
CD Single,CD,Units,1992,1,0,7,0
CD Single,CD,Units,1993,1,0,8,0
CD Single,CD,Units,1994,1,0,9,0
CD Single,CD,Units,1995,1,0,22,0
CD Single,CD,Units,1996,1,0,43,0
CD Single,CD,Units,1997,1,0,67,0
CD Single,CD,Units,1998,1,0,56,0
CD Single,CD,Units,1999,1,0,56,0
CD Single,CD,Units,2000,1,0,34,0
CD Single,CD,Units,2001,1,0,17,0
CD Single,CD,Units,2002,1,0,5,0
CD Single,CD,Units,2003,1,0,8,0
CD Single,CD,Units,2004,1,0,3,0
CD Single,CD,Units,2005,1,0,3,0
CD Single,CD,Units,2006,1,0,2,0
CD Single,CD,Units,2007,1,0,3,0
CD Single,CD,Units,2008,1,0,1,0
CD Single,CD,Units,2009,1,0,1,0
CD Single,CD,Units,2010,1,0,1,0
CD Single,CD,Units,2011,1,0,1,0
CD Single,CD,Units,2012,1,0,1,0
CD Single,CD,Units,2013,1,0,1,0
CD Single,CD,Units,2014,1,0,1,0
CD Single,CD,Units,2015,1,0,0,0
CD Single,CD,Units,2016,1,0,0,0
CD Single,CD,Units,2017,1,0,0,0
CD Single,CD,Units,2018,1,0,0,0
CD Single,CD,Units,2019,1,0,0,0
Cassette,Cassette,Units,1974,1,0,15,0
Cassette,Cassette,Units,1975,1,0,16,0
Cassette,Cassette,Units,1976,1,0,22,0
Cassette,Cassette,Units,1977,1,0,37,0
Cassette,Cassette,Units,1978,1,0,61,0
Cassette,Cassette,Units,1979,1,0,79,0
Cassette,Cassette,Units,1980,1,0,99,0
Cassette,Cassette,Units,1981,1,0,124,0
Cassette,Cassette,Units,1982,1,0,183,0
Cassette,Cassette,Units,1983,1,0,237,0
Cassette,Cassette,Units,1984,1,0,332,0
Cassette,Cassette,Units,1985,1,0,339,0
Cassette,Cassette,Units,1986,1,0,345,0
Cassette,Cassette,Units,1987,1,0,410,0
Cassette,Cassette,Units,1988,1,0,450,0
Cassette,Cassette,Units,1989,1,0,446,0
Cassette,Cassette,Units,1990,1,0,442,0
Cassette,Cassette,Units,1991,1,0,360,0
Cassette,Cassette,Units,1992,1,0,366,0
Cassette,Cassette,Units,1993,1,0,340,0
Cassette,Cassette,Units,1994,1,0,345,0
Cassette,Cassette,Units,1995,1,0,273,0
Cassette,Cassette,Units,1996,1,0,225,0
Cassette,Cassette,Units,1997,1,0,173,0
Cassette,Cassette,Units,1998,1,0,159,0
Cassette,Cassette,Units,1999,1,0,124,0
Cassette,Cassette,Units,2000,1,0,76,0
Cassette,Cassette,Units,2001,1,0,45,0
Cassette,Cassette,Units,2002,1,0,31,0
Cassette,Cassette,Units,2003,1,0,17,0
Cassette,Cassette,Units,2004,1,0,5,0
Cassette,Cassette,Units,2005,1,0,3,0
Cassette,Cassette,Units,2006,1,0,1,0
Cassette,Cassette,Units,2007,1,0,0,0
Cassette,Cassette,Units,2008,1,0,0,0
Cassette,Cassette,Units,2009,1,0,0,0
Cassette,Cassette,Units,2010,1,0,0,0
Cassette,Cassette,Units,2011,1,0,0,0
Cassette,Cassette,Units,2012,1,0,0,0
Cassette,Cassette,Units,2013,1,0,0,0
Cassette,Cassette,Units,2014,1,0,0,0
Cassette,Cassette,Units,2015,1,0,0,0
Cassette,Cassette,Units,2016,1,0,0,0
Cassette,Cassette,Units,2017,1,0,0,0
Cassette,Cassette,Units,2018,1,0,0,0
Cassette,Cassette,Units,2019,1,0,0,0
Cassette Single,Cassette,Units,1973,1,0,0,0
Cassette Single,Cassette,Units,1974,1,0,0,0
Cassette Single,Cassette,Units,1975,1,0,0,0
Cassette Single,Cassette,Units,1976,1,0,0,0
Cassette Single,Cassette,Units,1977,1,0,0,0
Cassette Single,Cassette,Units,1978,1,0,0,0
Cassette Single,Cassette,Units,1979,1,0,0,0
Cassette Single,Cassette,Units,1980,1,0,0,0
Cassette Single,Cassette,Units,1981,1,0,0,0
Cassette Single,Cassette,Units,1982,1,0,0,0
Cassette Single,Cassette,Units,1983,1,0,0,0
Cassette Single,Cassette,Units,1984,1,0,0,0
Cassette Single,Cassette,Units,1985,1,0,0,0
Cassette Single,Cassette,Units,1986,1,0,0,0
Cassette Single,Cassette,Units,1987,1,0,5,0
Cassette Single,Cassette,Units,1988,1,0,23,0
Cassette Single,Cassette,Units,1989,1,0,76,0
Cassette Single,Cassette,Units,1990,1,0,87,0
Cassette Single,Cassette,Units,1991,1,0,69,0
Cassette Single,Cassette,Units,1992,1,0,85,0
Cassette Single,Cassette,Units,1993,1,0,86,0
Cassette Single,Cassette,Units,1994,1,0,81,0
Cassette Single,Cassette,Units,1995,1,0,71,0
Cassette Single,Cassette,Units,1996,1,0,60,0
Cassette Single,Cassette,Units,1997,1,0,42,0
Cassette Single,Cassette,Units,1998,1,0,26,0
Cassette Single,Cassette,Units,1999,1,0,14,0
Cassette Single,Cassette,Units,2000,1,0,1,0
Cassette Single,Cassette,Units,2001,1,0,-2,0
Cassette Single,Cassette,Units,2002,1,0,-1,0
Cassette Single,Cassette,Units,2003,1,0,0,0
Cassette Single,Cassette,Units,2004,1,0,0,0
Cassette Single,Cassette,Units,2005,1,0,0,0
Cassette Single,Cassette,Units,2006,1,0,0,0
Cassette Single,Cassette,Units,2007,1,0,0,0
Cassette Single,Cassette,Units,2008,1,0,0,0
Cassette Single,Cassette,Units,2009,1,0,0,0
Cassette Single,Cassette,Units,2010,1,0,0,0
Cassette Single,Cassette,Units,2011,1,0,0,0
Cassette Single,Cassette,Units,2012,1,0,0,0
Cassette Single,Cassette,Units,2013,1,0,0,0
Cassette Single,Cassette,Units,2014,1,0,0,0
Cassette Single,Cassette,Units,2015,1,0,0,0
Cassette Single,Cassette,Units,2016,1,0,0,0
Cassette Single,Cassette,Units,2017,1,0,0,0
Cassette Single,Cassette,Units,2018,1,0,0,0
Cassette Single,Cassette,Units,2019,1,0,0,0
LP/EP,Vinyl,Units,1974,1,0,276,0
LP/EP,Vinyl,Units,1975,1,0,257,0
LP/EP,Vinyl,Units,1976,1,0,273,0
LP/EP,Vinyl,Units,1977,1,0,344,0
LP/EP,Vinyl,Units,1978,1,0,341,0
LP/EP,Vinyl,Units,1979,1,0,290,0
LP/EP,Vinyl,Units,1980,1,0,308,0
LP/EP,Vinyl,Units,1981,1,0,295,0
LP/EP,Vinyl,Units,1982,1,0,244,0
LP/EP,Vinyl,Units,1983,1,0,210,0
LP/EP,Vinyl,Units,1984,1,0,205,0
LP/EP,Vinyl,Units,1985,1,0,167,0
LP/EP,Vinyl,Units,1986,1,0,125,0
LP/EP,Vinyl,Units,1987,1,0,107,0
LP/EP,Vinyl,Units,1988,1,0,72,0
LP/EP,Vinyl,Units,1989,1,0,35,0
LP/EP,Vinyl,Units,1990,1,0,12,0
LP/EP,Vinyl,Units,1991,1,0,5,0
LP/EP,Vinyl,Units,1992,1,0,2,0
LP/EP,Vinyl,Units,1993,1,0,1,0
LP/EP,Vinyl,Units,1994,1,0,2,0
LP/EP,Vinyl,Units,1995,1,0,2,0
LP/EP,Vinyl,Units,1996,1,0,3,0
LP/EP,Vinyl,Units,1997,1,0,3,0
LP/EP,Vinyl,Units,1998,1,0,3,0
LP/EP,Vinyl,Units,1999,1,0,3,0
LP/EP,Vinyl,Units,2000,1,0,2,0
LP/EP,Vinyl,Units,2001,1,0,2,0
LP/EP,Vinyl,Units,2002,1,0,2,0
LP/EP,Vinyl,Units,2003,1,0,2,0
LP/EP,Vinyl,Units,2004,1,0,1,0
LP/EP,Vinyl,Units,2005,1,0,1,0
LP/EP,Vinyl,Units,2006,1,0,1,0
LP/EP,Vinyl,Units,2007,1,0,1,0
LP/EP,Vinyl,Units,2008,1,0,3,0
LP/EP,Vinyl,Units,2009,1,0,4,0
LP/EP,Vinyl,Units,2010,1,0,4,0
LP/EP,Vinyl,Units,2011,1,0,6,0
LP/EP,Vinyl,Units,2012,1,0,7,0
LP/EP,Vinyl,Units,2013,1,0,9,0
LP/EP,Vinyl,Units,2014,1,0,10,0
LP/EP,Vinyl,Units,2015,1,0,14,0
LP/EP,Vinyl,Units,2016,1,0,15,0
LP/EP,Vinyl,Units,2017,1,0,16,0
LP/EP,Vinyl,Units,2018,1,0,17,0
LP/EP,Vinyl,Units,2019,1,0,19,0
Vinyl Single,Vinyl,Units,1973,1,0,228,0
Vinyl Single,Vinyl,Units,1974,1,0,204,0
Vinyl Single,Vinyl,Units,1975,1,0,164,0
Vinyl Single,Vinyl,Units,1976,1,0,190,0
Vinyl Single,Vinyl,Units,1977,1,0,190,0
Vinyl Single,Vinyl,Units,1978,1,0,190,0
Vinyl Single,Vinyl,Units,1979,1,0,212,0
Vinyl Single,Vinyl,Units,1980,1,0,157,0
Vinyl Single,Vinyl,Units,1981,1,0,155,0
Vinyl Single,Vinyl,Units,1982,1,0,137,0
Vinyl Single,Vinyl,Units,1983,1,0,125,0
Vinyl Single,Vinyl,Units,1984,1,0,132,0
Vinyl Single,Vinyl,Units,1985,1,0,121,0
Vinyl Single,Vinyl,Units,1986,1,0,94,0
Vinyl Single,Vinyl,Units,1987,1,0,82,0
Vinyl Single,Vinyl,Units,1988,1,0,66,0
Vinyl Single,Vinyl,Units,1989,1,0,37,0
Vinyl Single,Vinyl,Units,1990,1,0,28,0
Vinyl Single,Vinyl,Units,1991,1,0,22,0
Vinyl Single,Vinyl,Units,1992,1,0,20,0
Vinyl Single,Vinyl,Units,1993,1,0,15,0
Vinyl Single,Vinyl,Units,1994,1,0,12,0
Vinyl Single,Vinyl,Units,1995,1,0,10,0
Vinyl Single,Vinyl,Units,1996,1,0,10,0
Vinyl Single,Vinyl,Units,1997,1,0,8,0
Vinyl Single,Vinyl,Units,1998,1,0,5,0
Vinyl Single,Vinyl,Units,1999,1,0,5,0
Vinyl Single,Vinyl,Units,2000,1,0,5,0
Vinyl Single,Vinyl,Units,2001,1,0,6,0
Vinyl Single,Vinyl,Units,2002,1,0,4,0
Vinyl Single,Vinyl,Units,2003,1,0,4,0
Vinyl Single,Vinyl,Units,2004,1,0,4,0
Vinyl Single,Vinyl,Units,2005,1,0,2,0
Vinyl Single,Vinyl,Units,2006,1,0,2,0
Vinyl Single,Vinyl,Units,2007,1,0,1,0
Vinyl Single,Vinyl,Units,2008,1,0,0,0
Vinyl Single,Vinyl,Units,2009,1,0,0,0
Vinyl Single,Vinyl,Units,2010,1,0,0,0
Vinyl Single,Vinyl,Units,2011,1,0,0,0
Vinyl Single,Vinyl,Units,2012,1,0,0,0
Vinyl Single,Vinyl,Units,2013,1,0,0,0
Vinyl Single,Vinyl,Units,2014,1,0,0,0
Vinyl Single,Vinyl,Units,2015,1,0,1,0
Vinyl Single,Vinyl,Units,2016,1,0,0,0
Vinyl Single,Vinyl,Units,2017,1,0,0,0
Vinyl Single,Vinyl,Units,2018,1,0,0,0
Vinyl Single,Vinyl,Units,2019,1,0,0,0
8 - Track,Tapes,Units,1974,1,0,97,0
8 - Track,Tapes,Units,1975,1,0,95,0
8 - Track,Tapes,Units,1976,1,0,106,0
8 - Track,Tapes,Units,1977,1,0,127,0
8 - Track,Tapes,Units,1978,1,0,134,0
8 - Track,Tapes,Units,1979,1,0,102,0
8 - Track,Tapes,Units,1980,1,0,85,0
8 - Track,Tapes,Units,1981,1,0,50,0
8 - Track,Tapes,Units,1982,1,0,14,0
8 - Track,Tapes,Units,1983,1,0,0,0
8 - Track,Tapes,Units,1984,1,0,0,0
8 - Track,Tapes,Units,1985,1,0,0,0
8 - Track,Tapes,Units,1986,1,0,0,0
8 - Track,Tapes,Units,1987,1,0,0,0
8 - Track,Tapes,Units,1988,1,0,0,0
8 - Track,Tapes,Units,1989,1,0,0,0
8 - Track,Tapes,Units,1990,1,0,0,0
8 - Track,Tapes,Units,1991,1,0,0,0
8 - Track,Tapes,Units,1992,1,0,0,0
8 - Track,Tapes,Units,1993,1,0,0,0
8 - Track,Tapes,Units,1994,1,0,0,0
8 - Track,Tapes,Units,1995,1,0,0,0
8 - Track,Tapes,Units,1996,1,0,0,0
8 - Track,Tapes,Units,1997,1,0,0,0
8 - Track,Tapes,Units,1998,1,0,0,0
8 - Track,Tapes,Units,1999,1,0,0,0
8 - Track,Tapes,Units,2000,1,0,0,0
8 - Track,Tapes,Units,2001,1,0,0,0
8 - Track,Tapes,Units,2002,1,0,0,0
8 - Track,Tapes,Units,2003,1,0,0,0
8 - Track,Tapes,Units,2004,1,0,0,0
8 - Track,Tapes,Units,2005,1,0,0,0
8 - Track,Tapes,Units,2006,1,0,0,0
8 - Track,Tapes,Units,2007,1,0,0,0
8 - Track,Tapes,Units,2008,1,0,0,0
8 - Track,Tapes,Units,2009,1,0,0,0
8 - Track,Tapes,Units,2010,1,0,0,0
8 - Track,Tapes,Units,2011,1,0,0,0
8 - Track,Tapes,Units,2012,1,0,0,0
8 - Track,Tapes,Units,2013,1,0,0,0
8 - Track,Tapes,Units,2014,1,0,0,0
8 - Track,Tapes,Units,2015,1,0,0,0
8 - Track,Tapes,Units,2016,1,0,0,0
8 - Track,Tapes,Units,2017,1,0,0,0
8 - Track,Tapes,Units,2018,1,0,0,0
8 - Track,Tapes,Units,2019,1,0,0,0
Other Tapes,Tapes,Units,1973,1,0,2,0
Other Tapes,Tapes,Units,1974,1,0,2,0
Other Tapes,Tapes,Units,1975,1,0,2,0
Other Tapes,Tapes,Units,1976,1,0,1,0
Other Tapes,Tapes,Units,1977,1,0,0,0
Other Tapes,Tapes,Units,1978,1,0,0,0
Other Tapes,Tapes,Units,1979,1,0,0,0
Other Tapes,Tapes,Units,1980,1,0,0,0
Other Tapes,Tapes,Units,1981,1,0,0,0
Other Tapes,Tapes,Units,1982,1,0,0,0
Other Tapes,Tapes,Units,1983,1,0,0,0
Other Tapes,Tapes,Units,1984,1,0,0,0
Other Tapes,Tapes,Units,1985,1,0,0,0
Other Tapes,Tapes,Units,1986,1,0,0,0
Other Tapes,Tapes,Units,1987,1,0,0,0
Other Tapes,Tapes,Units,1988,1,0,0,0
Other Tapes,Tapes,Units,1989,1,0,0,0
Other Tapes,Tapes,Units,1990,1,0,0,0
Other Tapes,Tapes,Units,1991,1,0,0,0
Other Tapes,Tapes,Units,1992,1,0,0,0
Other Tapes,Tapes,Units,1993,1,0,0,0
Other Tapes,Tapes,Units,1994,1,0,0,0
Other Tapes,Tapes,Units,1995,1,0,0,0
Other Tapes,Tapes,Units,1996,1,0,0,0
Other Tapes,Tapes,Units,1997,1,0,0,0
Other Tapes,Tapes,Units,1998,1,0,0,0
Other Tapes,Tapes,Units,1999,1,0,0,0
Other Tapes,Tapes,Units,2000,1,0,0,0
Other Tapes,Tapes,Units,2001,1,0,0,0
Other Tapes,Tapes,Units,2002,1,0,0,0
Other Tapes,Tapes,Units,2003,1,0,0,0
Other Tapes,Tapes,Units,2004,1,0,0,0
Other Tapes,Tapes,Units,2005,1,0,0,0
Other Tapes,Tapes,Units,2006,1,0,0,0
Other Tapes,Tapes,Units,2007,1,0,0,0
Other Tapes,Tapes,Units,2008,1,0,0,0
Other Tapes,Tapes,Units,2009,1,0,0,0
Other Tapes,Tapes,Units,2010,1,0,0,0
Other Tapes,Tapes,Units,2011,1,0,0,0
Other Tapes,Tapes,Units,2012,1,0,0,0
Other Tapes,Tapes,Units,2013,1,0,0,0
Other Tapes,Tapes,Units,2014,1,0,0,0
Other Tapes,Tapes,Units,2015,1,0,0,0
Other Tapes,Tapes,Units,2016,1,0,0,0
Other Tapes,Tapes,Units,2017,1,0,0,0
Other Tapes,Tapes,Units,2018,1,0,0,0
Other Tapes,Tapes,Units,2019,1,0,0,0
Music Video (Physical),Other,Units,1974,1,0,0,0
Music Video (Physical),Other,Units,1975,1,0,0,0
Music Video (Physical),Other,Units,1976,1,0,0,0
Music Video (Physical),Other,Units,1977,1,0,0,0
Music Video (Physical),Other,Units,1978,1,0,0,0
Music Video (Physical),Other,Units,1979,1,0,0,0
Music Video (Physical),Other,Units,1980,1,0,0,0
Music Video (Physical),Other,Units,1981,1,0,0,0
Music Video (Physical),Other,Units,1982,1,0,0,0
Music Video (Physical),Other,Units,1983,1,0,0,0
Music Video (Physical),Other,Units,1984,1,0,0,0
Music Video (Physical),Other,Units,1985,1,0,0,0
Music Video (Physical),Other,Units,1986,1,0,0,0
Music Video (Physical),Other,Units,1987,1,0,0,0
Music Video (Physical),Other,Units,1988,1,0,0,0
Music Video (Physical),Other,Units,1989,1,0,6,0
Music Video (Physical),Other,Units,1990,1,0,9,0
Music Video (Physical),Other,Units,1991,1,0,6,0
Music Video (Physical),Other,Units,1992,1,0,8,0
Music Video (Physical),Other,Units,1993,1,0,11,0
Music Video (Physical),Other,Units,1994,1,0,11,0
Music Video (Physical),Other,Units,1995,1,0,13,0
Music Video (Physical),Other,Units,1996,1,0,17,0
Music Video (Physical),Other,Units,1997,1,0,19,0
Music Video (Physical),Other,Units,1998,1,0,27,0
Music Video (Physical),Other,Units,1999,1,0,20,0
Music Video (Physical),Other,Units,2000,1,0,18,0
Music Video (Physical),Other,Units,2001,1,0,18,0
Music Video (Physical),Other,Units,2002,1,0,15,0
Music Video (Physical),Other,Units,2003,1,0,20,0
Music Video (Physical),Other,Units,2004,1,0,33,0
Music Video (Physical),Other,Units,2005,1,0,34,0
Music Video (Physical),Other,Units,2006,1,0,23,0
Music Video (Physical),Other,Units,2007,1,0,28,0
Music Video (Physical),Other,Units,2008,1,0,13,0
Music Video (Physical),Other,Units,2009,1,0,12,0
Music Video (Physical),Other,Units,2010,1,0,9,0
Music Video (Physical),Other,Units,2011,1,0,8,0
Music Video (Physical),Other,Units,2012,1,0,6,0
Music Video (Physical),Other,Units,2013,1,0,5,0
Music Video (Physical),Other,Units,2014,1,0,4,0
Music Video (Physical),Other,Units,2015,1,0,3,0
Music Video (Physical),Other,Units,2016,1,0,2,0
Music Video (Physical),Other,Units,2017,1,0,2,0
Music Video (Physical),Other,Units,2018,1,0,1,0
Music Video (Physical),Other,Units,2019,1,0,1,0
DVD Audio,DVD,Units,1974,1,0,0,0
DVD Audio,DVD,Units,1975,1,0,0,0
DVD Audio,DVD,Units,1976,1,0,0,0
DVD Audio,DVD,Units,1977,1,0,0,0
DVD Audio,DVD,Units,1978,1,0,0,0
DVD Audio,DVD,Units,1979,1,0,0,0
DVD Audio,DVD,Units,1980,1,0,0,0
DVD Audio,DVD,Units,1981,1,0,0,0
DVD Audio,DVD,Units,1982,1,0,0,0
DVD Audio,DVD,Units,1983,1,0,0,0
DVD Audio,DVD,Units,1984,1,0,0,0
DVD Audio,DVD,Units,1985,1,0,0,0
DVD Audio,DVD,Units,1986,1,0,0,0
DVD Audio,DVD,Units,1987,1,0,0,0
DVD Audio,DVD,Units,1988,1,0,0,0
DVD Audio,DVD,Units,1989,1,0,0,0
DVD Audio,DVD,Units,1990,1,0,0,0
DVD Audio,DVD,Units,1991,1,0,0,0
DVD Audio,DVD,Units,1992,1,0,0,0
DVD Audio,DVD,Units,1993,1,0,0,0
DVD Audio,DVD,Units,1994,1,0,0,0
DVD Audio,DVD,Units,1995,1,0,0,0
DVD Audio,DVD,Units,1996,1,0,0,0
DVD Audio,DVD,Units,1997,1,0,0,0
DVD Audio,DVD,Units,1998,1,0,0,0
DVD Audio,DVD,Units,1999,1,0,0,0
DVD Audio,DVD,Units,2000,1,0,0,0
DVD Audio,DVD,Units,2001,1,0,0,0
DVD Audio,DVD,Units,2002,1,0,0,0
DVD Audio,DVD,Units,2003,1,0,0,0
DVD Audio,DVD,Units,2004,1,0,0,0
DVD Audio,DVD,Units,2005,1,0,1,0
DVD Audio,DVD,Units,2006,1,0,0,0
DVD Audio,DVD,Units,2007,1,0,0,0
DVD Audio,DVD,Units,2008,1,0,0,0
DVD Audio,DVD,Units,2009,1,0,0,0
DVD Audio,DVD,Units,2010,1,0,0,0
DVD Audio,DVD,Units,2011,1,0,0,0
DVD Audio,DVD,Units,2012,1,0,0,0
DVD Audio,DVD,Units,2013,1,0,0,0
DVD Audio,DVD,Units,2014,1,0,0,0
DVD Audio,DVD,Units,2015,1,0,0,0
DVD Audio,DVD,Units,2016,1,0,0,0
DVD Audio,DVD,Units,2017,1,0,0,0
DVD Audio,DVD,Units,2018,1,0,0,0
DVD Audio,DVD,Units,2019,1,0,0,0
SACD,CD,Units,1973,1,0,0,0
SACD,CD,Units,1974,1,0,0,0
SACD,CD,Units,1975,1,0,0,0
SACD,CD,Units,1976,1,0,0,0
SACD,CD,Units,1977,1,0,0,0
SACD,CD,Units,1978,1,0,0,0
SACD,CD,Units,1979,1,0,0,0
SACD,CD,Units,1980,1,0,0,0
SACD,CD,Units,1981,1,0,0,0
SACD,CD,Units,1982,1,0,0,0
SACD,CD,Units,1983,1,0,0,0
SACD,CD,Units,1984,1,0,0,0
SACD,CD,Units,1985,1,0,0,0
SACD,CD,Units,1986,1,0,0,0
SACD,CD,Units,1987,1,0,0,0
SACD,CD,Units,1988,1,0,0,0
SACD,CD,Units,1989,1,0,0,0
SACD,CD,Units,1990,1,0,0,0
SACD,CD,Units,1991,1,0,0,0
SACD,CD,Units,1992,1,0,0,0
SACD,CD,Units,1993,1,0,0,0
SACD,CD,Units,1994,1,0,0,0
SACD,CD,Units,1995,1,0,0,0
SACD,CD,Units,1996,1,0,0,0
SACD,CD,Units,1997,1,0,0,0
SACD,CD,Units,1998,1,0,0,0
SACD,CD,Units,1999,1,0,0,0
SACD,CD,Units,2000,1,0,0,0
SACD,CD,Units,2001,1,0,0,0
SACD,CD,Units,2002,1,0,0,0
SACD,CD,Units,2003,1,0,1,0
SACD,CD,Units,2004,1,0,1,0
SACD,CD,Units,2005,1,0,1,0
SACD,CD,Units,2006,1,0,0,0
SACD,CD,Units,2007,1,0,0,0
SACD,CD,Units,2008,1,0,0,0
SACD,CD,Units,2009,1,0,0,0
SACD,CD,Units,2010,1,0,0,0
SACD,CD,Units,2011,1,0,0,0
SACD,CD,Units,2012,1,0,0,0
SACD,CD,Units,2013,1,0,0,0
SACD,CD,Units,2014,1,0,0,0
SACD,CD,Units,2015,1,0,0,0
SACD,CD,Units,2016,1,0,0,0
SACD,CD,Units,2017,1,0,0,0
SACD,CD,Units,2018,1,0,0,0
SACD,CD,Units,2019,1,0,0,0
Download Single,Download,Units,1974,1,0,0,0
Download Single,Download,Units,1975,1,0,0,0
Download Single,Download,Units,1976,1,0,0,0
Download Single,Download,Units,1977,1,0,0,0
Download Single,Download,Units,1978,1,0,0,0
Download Single,Download,Units,1979,1,0,0,0
Download Single,Download,Units,1980,1,0,0,0
Download Single,Download,Units,1981,1,0,0,0
Download Single,Download,Units,1982,1,0,0,0
Download Single,Download,Units,1983,1,0,0,0
Download Single,Download,Units,1984,1,0,0,0
Download Single,Download,Units,1985,1,0,0,0
Download Single,Download,Units,1986,1,0,0,0
Download Single,Download,Units,1987,1,0,0,0
Download Single,Download,Units,1988,1,0,0,0
Download Single,Download,Units,1989,1,0,0,0
Download Single,Download,Units,1990,1,0,0,0
Download Single,Download,Units,1991,1,0,0,0
Download Single,Download,Units,1992,1,0,0,0
Download Single,Download,Units,1993,1,0,0,0
Download Single,Download,Units,1994,1,0,0,0
Download Single,Download,Units,1995,1,0,0,0
Download Single,Download,Units,1996,1,0,0,0
Download Single,Download,Units,1997,1,0,0,0
Download Single,Download,Units,1998,1,0,0,0
Download Single,Download,Units,1999,1,0,0,0
Download Single,Download,Units,2000,1,0,0,0
Download Single,Download,Units,2001,1,0,0,0
